Id,TitleSimScore
1,0
2,126
3,45
4,21
5,18
6,32
7,50
8,53
9,52
10,49
11,59
12,52
13,85
14,61
15,59
16,74
17,36
18,52
19,44
20,26
21,37
22,140
23,63
24,109
25,136
26,61
27,30
28,38
29,30
30,124
31,31
32,79
33,50
34,0
35,20
36,50
37,32
38,40
39,21
40,44
41,49
42,114
43,15
44,40
45,31
46,51
47,54
48,16
49,1
50,39
51,45
52,43
53,20
54,58
55,51
56,28
57,35
58,23
59,171
60,49
61,115
62,96
63,23
64,92
65,30
66,0
67,38
68,4
69,15
70,64
71,24
72,38
73,85
74,41
75,45
76,43
77,44
78,34
79,18
80,82
81,9
82,19
83,32
84,26
85,37
86,37
87,50
88,35
89,8
90,42
91,33
92,38
93,74
94,49
95,24
96,27
97,20
98,148
99,31
100,54
101,19
102,62
103,19
104,50
105,26
106,35
107,31
108,45
109,48
110,39
111,26
112,34
113,18
114,36
115,46
116,153
117,33
118,122
119,23
120,59
121,33
122,27
123,30
124,46
125,18
126,45
127,17
128,17
129,22
130,40
131,27
132,65
133,45
134,68
135,28
136,0
137,29
138,19
139,43
140,55
141,33
142,38
143,42
144,22
145,50
146,95
147,148
148,23
149,52
150,25
151,71
152,13
153,33
154,33
155,18
156,35
157,21
158,32
159,58
160,40
161,34
162,28
163,78
164,29
165,35
166,143
167,61
168,48
169,9
170,11
171,37
172,48
173,35
174,21
175,11
176,9
177,46
178,91
179,56
180,42
181,39
182,33
183,25
184,31
185,46
186,14
187,46
188,44
189,31
190,22
191,32
192,48
193,166
194,33
195,55
196,82
197,21
198,27
199,24
200,57
201,71
202,54
203,31
204,42
205,32
206,33
207,13
208,66
209,10
210,48
211,40
212,20
213,12
214,32
215,37
216,31
217,19
218,10
219,46
220,60
221,27
222,20
223,62
224,0
225,24
226,31
227,28
228,20
229,4
230,45
231,12
232,41
233,17
234,0
235,26
236,46
237,71
238,138
239,34
240,63
241,21
242,9
243,53
244,28
245,19
246,52
247,32
248,0
249,39
250,58
251,0
252,35
253,40
254,27
255,27
256,19
257,24
258,33
259,19
260,40
261,59
262,90
263,36
264,14
265,66
266,121
267,18
268,177
269,27
270,28
271,16
272,28
273,27
274,5
275,48
276,28
277,118
278,96
279,39
280,71
281,30
282,28
283,37
284,41
285,66
286,32
287,46
288,28
289,69
290,43
291,35
292,29
293,79
294,30
295,27
296,73
297,49
298,139
299,0
300,34
301,41
302,31
303,129
304,13
305,75
306,36
307,46
308,29
309,80
310,129
311,95
312,149
313,22
314,6
315,40
316,30
317,29
318,30
319,69
320,49
321,33
322,55
323,55
324,44
325,13
326,27
327,79
328,144
329,30
330,84
331,29
332,71
333,6
334,34
335,28
336,46
337,15
338,25
339,56
340,151
341,99
342,38
343,37
344,37
345,30
346,28
347,27
348,44
349,45
350,29
351,34
352,5
353,16
354,9
355,45
356,17
357,36
358,45
359,17
360,16
361,42
362,72
363,36
364,47
365,35
366,145
367,0
368,58
369,21
370,11
371,79
372,36
373,22
374,48
375,26
